  ilv   flv            5K           10K           20K           30K           50K           80K          100K          150K          200K          300K
   17    10    2.3730E-12    1.7547E-12    1.0918E-12    8.2682E-13    6.5717E-13    6.3158E-13    6.4896E-13    7.0773E-13    7.5900E-13    8.2880E-13
   17    11    4.0764E-12    3.4256E-12    2.5209E-12    2.0654E-12    1.6833E-12    1.5373E-12    1.5393E-12    1.6732E-12    1.8872E-12    2.4156E-12
   17    12    3.4505E-12    2.7202E-12    1.7986E-12    1.3945E-12    1.1091E-12    1.0450E-12    1.0665E-12    1.1647E-12    1.2627E-12    1.4123E-12
   17    13    4.3191E-12    3.9379E-12    3.5573E-12    3.4254E-12    3.4046E-12    3.4989E-12    3.5731E-12    3.7501E-12    3.9047E-12    4.1485E-12
   17    14    7.8335E-12    1.0002E-11    1.2526E-11    1.4168E-11    1.6589E-11    1.9125E-11    2.0415E-11    2.2901E-11    2.4783E-11    2.7588E-11
   17    15    3.4845E-12    2.9179E-12    2.2854E-12    2.0243E-12    1.8847E-12    1.9261E-12    1.9910E-12    2.1674E-12    2.3298E-12    2.5962E-12
   17    16    2.4533E-12    2.2282E-12    1.6661E-12    1.3636E-12    1.1230E-12    1.0583E-12    1.0786E-12    1.1950E-12    1.3392E-12    1.6414E-12
   18     1    6.4455E-13    4.6800E-13    3.1372E-13    2.6489E-13    2.5560E-13    2.9428E-13    3.2514E-13    3.9481E-13    4.5049E-13    5.3187E-13
   18     2    1.6388E-12    1.6985E-12    1.4759E-12    1.3314E-12    1.2536E-12    1.3341E-12    1.4319E-12    1.7184E-12    2.0146E-12    2.5871E-12
   18     3    1.7388E-12    1.5395E-12    1.0929E-12    8.5597E-13    6.4801E-13    5.4845E-13    5.2783E-13    5.2621E-13    5.4926E-13    6.1465E-13
   18     4    1.1870E-12    9.2714E-13    5.9667E-13    4.7090E-13    4.0492E-13    4.1717E-13    4.3862E-13    4.9011E-13    5.3133E-13    5.9460E-13
   18     5    1.0285E-12    9.2454E-13    6.9855E-13    6.1011E-13    5.7739E-13    6.1558E-13    6.5415E-13    7.5867E-13    8.5918E-13    1.0289E-12
   18     6    2.3090E-12    2.6499E-12    2.7340E-12    2.7766E-12    2.8806E-12    3.0013E-12    3.0591E-12    3.1598E-12    3.2260E-12    3.3009E-12
   18     7    1.2955E-12    1.0408E-12    6.4078E-13    4.6294E-13    3.2669E-13    2.7325E-13    2.6544E-13    2.7049E-13    2.8438E-13    3.1383E-13
   18     8    3.1995E-12    3.3256E-12    2.7891E-12    2.4441E-12    2.1653E-12    2.1377E-12    2.2189E-12    2.5515E-12    2.9569E-12    3.8376E-12
   18     9    2.8206E-12    2.0860E-12    1.3260E-12    1.0269E-12    8.3602E-13    8.0738E-13    8.2656E-13    8.8936E-13    9.4216E-13    1.0129E-12
   18    10    3.0784E-12    2.6718E-12    2.0258E-12    1.7028E-12    1.4363E-12    1.3243E-12    1.3108E-12    1.3467E-12    1.4165E-12    1.5703E-12
   18    11    3.2390E-12    2.5359E-12    1.7243E-12    1.3651E-12    1.1102E-12    1.0662E-12    1.1017E-12    1.2426E-12    1.3887E-12    1.6309E-12
   18    12    3.2128E-12    2.7471E-12    2.0460E-12    1.7360E-12    1.5708E-12    1.6481E-12    1.7546E-12    2.0471E-12    2.3191E-12    2.7643E-12
   18    13    7.8218E-12    1.0248E-11    1.2991E-11    1.4666E-11    1.7026E-11    1.9417E-11    2.0619E-11    2.2922E-11    2.4653E-11    2.7161E-11
   18    14    4.0979E-12    3.7206E-12    3.3772E-12    3.2691E-12    3.2714E-12    3.3801E-12    3.4600E-12    3.6475E-12    3.8099E-12    4.0646E-12
   18    15    2.5148E-12    1.9944E-12    1.3168E-12    1.0161E-12    8.0193E-13    7.4961E-13    7.6162E-13    8.2665E-13    8.9861E-13    1.0286E-12
